question;subject;comment;longitudeETRSGK25;latitudeETRSGK25
Kehittämisideani tälle paikalle!;Täydennysrakentamista ranta täyteen...;Täydennysrakentamista ranta täyteen ja idyllinen intiimi rantabulevardi täyteen kahviloita ja pikkuputiikkeja! Kaiken lisäksi aukeaisi suoraan etelään!;25497544,599954800;6673902,000000000
Virkistävä paikka;Pidän paljon Töölönlahden rantojen...;Pidän paljon Töölönlahden rantojen puistojen luonnontilaisemmista osista. Niitä ei tarvitse muuttaa nurmikoiksi. Rakennettakoot nurmikot lähemmäs Musiikkitaloa.;25496552,599946900;6673962,000000000
Meluisa paikka;Jatkuva kova liikenne ja vaikeudet siirtyä...;Jatkuva kova liikenne ja vaikeudet siirtyä kadun puolelta toiselle näivettää koko Hämeentien.;25497837,000162500;6674802,000000000
Kehittämisideani tälle paikalle!;Hgin AMK:n hieno Hietsun torille avautuva...;Hgin AMK:n hieno Hietsun torille avautuva piha voisi olla jossain käytössä. Kahvilaa, kirpputoritoimintaa?;25496175,999823500;6672235,000000000
Keskustan tinkimätön helmi;Kuin olisi jossain ulkomailla. Ihanaa...;Kuin olisi jossain ulkomailla. Ihanaa seutua!;25497544,999954400;6674762,000000000
Hankala kulkea jalan.;Pyöräilijöille oikeasti mahdollisuus...;Pyöräilijöille oikeasti mahdollisuus käyttää katua!;25497823,000176500;6674730,000000000
Keskustan tinkimätön helmi;Älkää ihmeessä antako purkaa Kaartin...;Älkää ihmeessä antako purkaa Kaartin lasaretin puutaloja. Niitä pitää kehittää sellaisenaan, ei purkaa. Miten olisi ravintolatoiminta, pyörävuokraamo, liiketiloja, kohtaamispaikkaa ja keidasta kaupunkilaisille?;25495888,000111500;6672223,000000000
Hankala kulkea jalan.;Tästä olisi kätevä oikaista kävellen....;Tästä olisi kätevä oikaista kävellen.;25495964,000035500;6671967,000000000
Kehittämisideani tälle paikalle!;Merenrannassa, paraatipaikalla olevat...;Merenrannassa, paraatipaikalla olevat Stjernvallinpuisto ja Meripuisto  viihtyisimmiksi monivuotisilla kukkaistutuksilla. Laaja nurmikkoalue kaunis ja tarpeellinen pelaamiseen, kesäoleiluun jne, mutta voimasta väriloistoa kukkaistutuksilla tms. kai;25496935,500064000;6671336,500000000
Turvaton paikka;Porukkaa jatkuvasti juopottelemassa...;Porukkaa jatkuvasti juopottelemassa ja riitelemässä;25496350,500149000;6673008,500000000
Kehittämisideani tälle paikalle!;Puistoon olisi helpompi piipahtaa, jos...;Puistoon olisi helpompi piipahtaa, jos siinä olisi portti myös toisella puolella. Nyt läpikulku ja hetkellinen virkistäytyminen mahdotonta;25497024,999974500;6673570,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496833,500166000;6672819,500000000
Turvaton paikka;Vain karttamerkintä;;25496523,499976000;6673084,500000000
Turvaton paikka;Vain karttamerkintä;;25496093,499906000;6672838,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496462,000037500;6673022,000000000
Keskustan tinkimätön helmi;Vain karttamerkintä;;25497346,500153000;6673005,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496673,999825500;6672559,000000000
Virkistävä paikka;Vain karttamerkintä;;25497430,500069000;6672753,500000000
Kehittämisideani tälle paikalle!;PIKAINEN PÄÄTÖS: Kaikki irralliset...;PIKAINEN PÄÄTÖS: Kaikki irralliset liikkeiden irralliset katumainokset pois Aleksantenterinkadulta ja muilta keskustan kaduilta!    Ne ovat jalankulkijoiden esteenä sujuvalle liikumiselle erityisesti ruuhka-aikoina!;25496916,000083500;6672892,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25497057,999941500;6673419,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25497669,999829500;6672683,000000000
Virkistävä paikka;Vain karttamerkintä;;25497125,999873500;6673451,000000000
Virkistävä paikka;Vain karttamerkintä;;25497418,000081500;6672135,000000000
Virkistävä paikka;Vain karttamerkintä;;25497573,999925500;6671347,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496193,999805500;6673867,000000000
Meluisa paikka;Vain karttamerkintä;;25496294,000205500;6672923,000000000
Meluisa paikka;Vain karttamerkintä;;25496581,999917500;6672939,000000000
Meluisa paikka;Vain karttamerkintä;;25496553,999945500;6673039,000000000
Meluisa paikka;Vain karttamerkintä;;25496754,000245500;6673087,000000000
Meluisa paikka;Vain karttamerkintä;;25496818,000181500;6672755,000000000
Hankala kulkea jalan.;Vain karttamerkintä;;25496525,499974000;6673098,500000000
Hankala kulkea jalan.;Vain karttamerkintä;;25497029,499970000;6672774,500000000
Kehittämisideani tälle paikalle!;Ihana vasta valmistunut keskuskatu!...;Ihana vasta valmistunut keskuskatu! Kauniita kukkapylväitä kesäksi ja kaikki liikkeiden irralliset mainokset pois kävelykaduilta sujuvaa jalankulkua estämästä!  Talvella riittävän tehokas Led-valaistus lyhtypylväisiin!;25496826,000173500;6673026,000000000
Turvaton paikka;;;25496749,499750000;6673131,500000000
Meluisa paikka;Hirvittävän meluisa Kaisaniemnkadun...;Hirvittävän meluisa Kaisaniemnkadun ja Kaivokadun kulma sekä Kaisaniemenkadun alkuosa. Bussirumba pitäisi saada siirrettyä maan alle ja luoda kulmauksesta alkava kävelykeskusta Eteläesplanadille;25496990,000009500;6673115,000000000
Hankala kulkea jalan.;Pyöräileminen etelästä Mannerheimintieltä...;Pyöräileminen etelästä Mannerheimintieltä kääntyen Kaivokadulle mahdotonta, ei hyvää reittiä.;25496617,499882000;6673023,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Mukava kävelykatu jossa paljon terasseja...;Mukava kävelykatu jossa paljon terasseja ja meininkiä..;25496682,999816500;6672812,000000000
Kehittämisideani tälle paikalle!;Kauppahallin ympäristö kaipaa aivan...;Kauppahallin ympäristö kaipaa aivan uuden esteettisesti kauniin kohennuksen: Vihreyttä ja vehreyttä nyt niin kolkkoon asvalttiympäristöön.  Viheristutuksia ja riittävästi kestäviä penkkejä istumista varten.   Paraatipaikka kauniiksi helsi;25497375,000124500;6672645,000000000
Virkistävä paikka;Baanan leveämmät kohdat ovat yllättävänkin...;Baanan leveämmät kohdat ovat yllättävänkin viihtyisä keidas keskellä kaupunkia. Liikenteen melu ei kantaudu alas liian kovana, ja istutukset tekevät alueesta viihtyisän.;25495809,500190000;6672863,500000000
Hankala kulkea jalan.;Koko Kaivokatu ja Rautatieaseman edusta...;Koko Kaivokatu ja Rautatieaseman edusta ovat hankalia jalankulkijoille ja pyöräilijöille. Risteävä autoliikenne vaikeuttaa kadun ylittämistä ja pyörätie kulkee keskellä jalankulkuväyliä. Kaivokadun läpiajo autoilla tulisi kokonaan kielt?;25496832,000167500;6673063,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Opiskelijat tekevät Yliopistonkadusta...;Opiskelijat tekevät Yliopistonkadusta elävän.;25497091,999907500;6673007,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Keskuskatu on ihana paikka, koska kadulla...;Keskuskatu on ihana paikka, koska kadulla on paljon tilaa, siitä löytyy ravintoloita ja terasseja ja siitä kulkee myös paljon ihmisiä.;25496829,500170000;6672914,500000000
Keskustan tinkimätön helmi;Historian havinaa ja vanhan ajan tunnelmaa...;Historian havinaa ja vanhan ajan tunnelmaa;25497340,500159000;6672839,500000000
Hankala kulkea jalan.;Mannerheimintietä ei pääse ylittämään...;Mannerheimintietä ei pääse ylittämään Postitalon kohdalla. Tämä hidastaa jalankulkuliikennettä huomattavasti. Tästä kohdasta etelään Mannerheimintien autokaistoja tulisi vähentää ja etusija antaa jalankululle ja pyöräilylle. Postita;25496498,000001500;6673113,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Espa, itsestäänselvä, on kohtaamisia,...;Espa, itsestäänselvä, on kohtaamisia, pöhinää, kuhinaa ja elävyyttä.;25497089,499910000;6672733,500000000
Kehittämisideani tälle paikalle!;Mansku on todella meluisa ja hälyisä...;Mansku on todella meluisa ja hälyisä ja epämiellyttävä, joskin aika olennainen kauttakulkuväylä;25496583,499916000;6673004,500000000
Turvaton paikka;Asema-aukiolla ja Elielinaukiolla jalankulku...;Asema-aukiolla ja Elielinaukiolla jalankulku ja pyöräily on vaarallista, sillä jalankulkijat ja pyöräilijät on laitettu yhteen. Alueelle pitäisi välittömästi tehdä erilliset pyörätiet.;25496635,999863500;6673125,000000000
Virkistävä paikka;Kaisaniemenrannassa on kauniit maisemat,...;Kaisaniemenrannassa on kauniit maisemat, mutta ranta on kuollut ja vajaakäytössä. Rantaan tulisi rakentaa enemmän palveluita, pientaloja ja vaikkapa asuntolaivoja, jotta ihmiset löytäisivät paikan.;25496870,000129500;6673767,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Musiikkitalon viereiselle torille on...;Musiikkitalon viereiselle torille on saatu kivasti kaupunkipöhinää. Alue on hyvin autoilta suojassa, vaikka Mannerheimintie kulkee ihan vierestä.;25496394,666604800;6673523,000000000
Keskustan tinkimätön helmi;Bulevardi ehdottomasti yksi kauneimmista...;Bulevardi ehdottomasti yksi kauneimmista kaduista Helsingissä. Puiden ansiosta neljä vuodenaikaa luovat oman tunnelmansa ja pyöröilijät otettu katusuunnittelussa huomioon.;25496616,999882500;6672457,500000000
Turvaton paikka;Kaisaniemenkatua on todella vaarallista...;Kaisaniemenkatua on todella vaarallista pyöräillä, vaikka se on pääväylä keskustasta Kallion suuntaan ja toisaalta Yliopiston kirjastolle. Kadulle on saatava pyöräkaistat mahdollisimman pian.;25497107,999891500;6673229,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Nuorten kohtaamispaikka;Nuorten kohtaamispaikka;25496417,000082500;6673320,000000000
Hankala kulkea jalan.;Pyörä- ja kävelyreitit menevät hankalasti...;Pyörä- ja kävelyreitit menevät hankalasti ristiin Kaivokadulla Rautatieaseman ja Rautatientorin puolella.;25496917,000082500;6673094,000000000
Hankala kulkea jalan.;Myös Kansalaistorilla pyörätiet kulkevat...;Myös Kansalaistorilla pyörätiet kulkevat keskellä toria, jossa jalankulkijat eivät osaa varoa niitä. Pyörätien tulisi kulkea paikassa, jonne jalankulkijat eivät eksy. Jalankulkualueita ei voi pilkkoa osiin laittamalla pyöräteitä niiden ke;25496482,000017500;6673323,000000000
Hankala kulkea jalan.;Elielinaukio on sekä jalankulkijalle...;Elielinaukio on sekä jalankulkijalle että pyöräilijälle todella vaarallinen, sillä bussista tulevat jalankulkijat astuvat suoraan pyörätielle. Täysin järjetöntä suunnittelua.;25496603,999895500;6673235,000000000
Turvaton paikka;Kaisiksen puisto kaipaisi remonttia...;"Kaisiksen puisto kaipaisi remonttia ja avaruutta sekä valoisuutta; vähentäisi siten pelottavuutta ja vaarallisuutta.";25497048,499951000;6673415,500000000
Virkistävä paikka;Katajanokan pohjoisranta on upean kaunis....;Katajanokan pohjoisranta on upean kaunis. Alueelle pitäisi olla suoremmat ja selkeämmät kävely-yhteydet Aleksanterinkadun suunnasta.;25497854,000145500;6672927,000000000
Kehittämisideani tälle paikalle!;Kaikki jatkuva autoliikenne pois Aleksilta,...;Kaikki jatkuva autoliikenne pois Aleksilta, välillä Mannerheimintie - Fabianinkatu.;25496895,000104500;6672887,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Hietalahdentorilla paikalliset ja turistit...;Hietalahdentorilla paikalliset ja turistit kulkevat sulassa sovussa ja nauttivat kaupungista. Torille voisi saada lisää elämää ja toimintoja rakentamalla ruman parkkipaikan tilalle vaikkapa paviljonkirakennuksen ravintoloineen - nykyisin tori on;25496107,999891500;6672187,000000000
Kehittämisideani tälle paikalle!;Länsilinkki Baanan päässä on monen...;Länsilinkki Baanan päässä on monen matkan varrella, mutta mitään palveluita paikalla ei ole. Turhien aukioiden ja nurmikoiden lisäksi alueella voisi siis olla myös paviljonkeja, terasseja ja kahviloita, jotka houkuttelisivat ohikulkijoita pys;25495663,999835500;6672223,000000000
Kehittämisideani tälle paikalle!;Fabianinkatu kävelykaduksi! Kadulla...;Fabianinkatu kävelykaduksi! Kadulla liikkuu enemmän opiskelijoita, kuin autoja.;25497181,999817500;6673099,000000000
Virkistävä paikka;Tähtitorninmäen eteläinen rinne on...;Tähtitorninmäen eteläinen rinne on upea aurinkoinen keidas.;25497392,000107500;6672043,000000000
Kehittämisideani tälle paikalle!;Makasiinipuiston alue on kaiketi vielä...;Makasiinipuiston alue on kaiketi vielä kehittämisen alla?   Nurmialue kukkaistutuksineen hyvä idea ja jatkokehittämistä kaipaava. Alueen voisi rauhoittaa: KaupunkipiknicKeitaaksi.  Vanhaan Makasiini rakennukseen oli suunnitteilla ravintola?;25496490,250009200;6673455,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Koffin puisto on erinomaisesti toimiva...;Koffin puisto on erinomaisesti toimiva puisto ja kaupunkilaisten olohuone.;25496284,000215500;6672083,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496013,999985500;6672605,000000000
Keskustan tinkimätön helmi;Kansalaistori hyvä esimerkki uudenlaisesta...;Kansalaistori hyvä esimerkki uudenlaisesta kaupunkisuunnittelusta, jossa erilaisia tapahtumia järjestetään aktiivisesti:);25496475,250024200;6673346,500000000
Hankala kulkea jalan.;Aleksin jalkakäytävät ovat etenkin...;Aleksin jalkakäytävät ovat etenkin ruuhka-aikaan aivan tukossa ja kävely siellä on epämiellyttävää. Lisäksi kun ratikkakiskojen ja taksien seassa, mukulakivillä pyöräily on hankalaa ja jopa vaarallista, pyörät löytävät liian helpost;25497023,999975500;6672903,000000000
Virkistävä paikka;Aikaisemmin ulkoiselta olemukseltaan...;Aikaisemmin ulkoiselta olemukseltaan niin  kolkko  Helsingin päärautatieasema on viime kesinä ilahduttanut matkustajia sisäpihan vaihtuvilla vihersuunnittelupihalla keinuineen ja istuinpenkkeineen.  Erinomainen osoitus siitä, miten kolkko kivial;25496753,750245700;6673121,500000000
Meluisa paikka;Elielinaukiolla ei voi kävellä ilman,...;Elielinaukiolla ei voi kävellä ilman, että joku on kerjäämässä, pyytämässä rahaa tai tyrkyttämässä jotain muuta.  En kaipaa feissaajia tai surkeita muusikoita muun hälinän keskelle.;25496663,999835500;6673151,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Yliopistokadulla hyvää katuympäristöä!...;Yliopistokadulla hyvää katuympäristöä! Kävelylle tilaa, autotkin pääsevät kulkemaan mutta rakenteellisesti nopeudet hoidettu alas!;25497139,999859500;6673003,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Kalevankadun alku - varmasti yksi keskustan...;Kalevankadun alku - varmasti yksi keskustan viihtyisimpiä kadunpätkiä!;25496659,999839500;6672799,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Yrjö-Koskisen katu, todella viihtyisää...;Yrjö-Koskisen katu, todella viihtyisää kävely-ympäristöä!;25497328,000171500;6673367,000000000
Hankala kulkea jalan.;Koko alue Elienelinaukio-Rautatieasema-Kaivokatu...;Koko alue Elienelinaukio-Rautatieasema-Kaivokatu on aivan käsittämättömän huonosti suunniteltu. Elielinaukiolla pyörätiet ja jalankulku risteävät miten sattuu, ilmeisesti ideana on ollut jonkinnäköinen shared space, mutta sitä ei indikoid;25496659,999839500;6673087,000000000
Kehittämisideani tälle paikalle!;Rautatieaseman edustan parkkipaikat...;Rautatieaseman edustan parkkipaikat - kuinka monessa eurooppalaisessa sivistysvaltiossa on kaupungin paraatipaikalla parkkipaikat parille hassulle autolle? Maan alta löytyy tilaa.;25496784,000215500;6673091,000000000
Kehittämisideani tälle paikalle!;Pohjoisespa, kaupungin edustuskatu....;Pohjoisespa, kaupungin edustuskatu. Kävelykaduksi vaan.;25497067,999931500;6672771,000000000
Turvaton paikka;Kaisaniemenkadun jalkakäytävät ovat...;Kaisaniemenkadun jalkakäytävät ovat aamusta iltaan täynnä kuormaavia ja lastaavia autoja, osa varmasti kuormaa tai lastaa oikeastikin, mutta valtaosa on vain ilmaisessa parkissa, kun pysäköinninvalvontaa ei tunnu kiinnostavan.;25497095,999903500;6673203,000000000
Hankala kulkea jalan.;Aleksin jalkakäytävillä jatkuva pysäköinti...;Aleksin jalkakäytävillä jatkuva pysäköinti rupeaa ärsyttämään. Jakelu pitäisi hoitaa pikkutunteina, päivällä jalkakäytävillä on ihan tarpeeksi ahdasta pelkkien jalankulkijoiden voimin.;25496956,000043500;6672895,000000000
Keskustan tinkimätön helmi;Keskusta-alueella on vain harvoja isoja...;Keskusta-alueella on vain harvoja isoja viihtyisiä ei-kaupallisia oleskelualueita, joilla kuitenkin on vaihtelevaa tapahtumaa.;25496423,500076000;6673348,500000000
Kehittämisideani tälle paikalle!;Freda, upea kauppakatu. Siitä saisi...;Freda, upea kauppakatu. Siitä saisi vielä upeamman muuttamalla sen Aleksin tyyliseksi raitiovaunu- ja kävelykaduksi.;25496388,000111500;6672555,000000000
Turvaton paikka;Pyöräilijöiden reitti katkeaa tässä,...;Pyöräilijöiden reitti katkeaa tässä, joten myös jalankulkijat joutuvat hankalaan tilanteeseen.;25496879,500120000;6672672,500000000
Turvaton paikka;Unioninkatu on tällä hetkellä todellinen...;Unioninkatu on tällä hetkellä todellinen kaahauskatu, autoilijat eivät kunnioita jalankulkijoita tai heikosti merkittyjä pyöräkaistoja juuri mitenkään.;25497264,000235500;6673171,000000000
Kehittämisideani tälle paikalle!;Idea Manskun itäpuoliskon muuttamisesta...;Idea Manskun itäpuoliskon muuttamisesta kävelykaduksi olisi mielestäni erittäin kannatettava! Ylioppilastalon nurkilla jalkakäytävillä usein melkoinen ruuhka!;25496723,999775500;6672879,000000000
Kehittämisideani tälle paikalle!;Kun länsimetro ehkä joskus valmistuu,...;Kun länsimetro ehkä joskus valmistuu, voisi elielinaukion bussit siirtää kamppiin ja tehdä aukiosta viihtyisän, vähän lasipalatsin ja vanhan linja-autoaseman välistä aukiota muistuttavan kaupunkitilan. Lämmitettyjä terasseja ja kenties jo;25496651,999847500;6673207,000000000
Kehittämisideani tälle paikalle!;Fabianinkatu kävelykaduksi! Tällä...;Fabianinkatu kävelykaduksi! Tällä hetkellä täysin turha läpiajoväylä viihtyisän keskustakampuksen keskellä. Parkkipaikkoja eivät ainakaan opiskelijat tarvitse, fillaripaikkoja enemminkin.;25497175,999823500;6673095,000000000
Hankala kulkea jalan.;Yrjönkadulla Eerikin- ja Kalevankatujen...;Yrjönkadulla Eerikin- ja Kalevankatujen välillä muuten oikein viihtyisää kävely-ympäristöä, mutta jatkuva pysäköinti jalkakäytäville ärsyttää. Voisiko pysäköinninvalvonta puuttua!?;25496563,999935500;6672787,000000000
Hankala kulkea jalan.;jakeluautot tukkivat usein tien;jakeluautot tukkivat usein tien;25496965,080034400;6672996,520000000
Turvaton paikka;turvaton paikka jalankulkijoille ja...;turvaton paikka jalankulkijoille ja pyöräilijöille, eri väylät eri liikennemuodoille erotettava selvemmin toisistaan;25497367,839631600;6672748,920000000
Turvaton paikka;pyörät ajavat usein liian lujaa jalankulkijoiden...;pyörät ajavat usein liian lujaa jalankulkijoiden joukossa, koska pyörätietä ei ole;25497200,559798900;6673872,040000000
Meluisa paikka;Sörnäisten rantatiellä hanatellaan...;Sörnäisten rantatiellä hanatellaan turhaan, ja siksi tie on meluisa ja epämiellyttävä kävelijälle ja pyöräilijälle;25497866,479633000;6674306,640000000
Virkistävä paikka;kallioinen puisto on mukavasti kerroksinen...;kallioinen puisto on mukavasti kerroksinen ja hiljaisempi kuin Kallion muut puistot;25496955,200044300;6674378,400000000
Meluisa paikka;autojen nopeudet liian korkeita, liikaa...;autojen nopeudet liian korkeita, liikaa melua. Sillalta aukeaa hienot maisemat useisiin suuntiin, mutta ei tee mieli jäädä ihailemaan.;25499194,239805200;6674817,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496275,500224000;6672127,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Vain karttamerkintä;;25496099,499900000;6672218,500000000
Virkistävä paikka;Mustikkamaa ja Tervasaari ovat tosi...;Mustikkamaa ja Tervasaari ovat tosi hienoja virkistysalueita, pitäisin ne ennallaan.;25499468,040031400;6674046,400000000
Meluisa paikka;Autot pois Hämeentieltä;Autot pois Hämeentieltä;25497436,000063500;6674268,600000000
Turvaton paikka;Pyörätiet Hämeentielle;Pyörätiet Hämeentielle;25497639,999859500;6674464,600000000
Hankala kulkea jalan.;Kova tungos. Pyöräilijät ajavat päälle....;Kova tungos. Pyöräilijät ajavat päälle. Autojonot saastuttavat ja on vaikea hengittää.;25496760,000239500;6673056,600000000
Keskustan tinkimätön helmi;Mukava melko suojaisa ja aurinkoinen...;Mukava melko suojaisa ja aurinkoinen oleskelupaikka keskellä kaupunkia, lähestulkoon kaikenikäisille sopiva oleskelupaikka.;25495961,500038000;6672593,500000000
Virkistävä paikka;Eiran ranta. Vihreää, kaunista ja...;Eiran ranta. Vihreää, kaunista ja kesäisin upea meri-ilma.;25496968,000031500;6671287,000000000
Turvaton paikka;Pyöräilytie suunniteltu erittäin...;Pyöräilytie suunniteltu erittäin huonosti Elielinaukion läheisyydessä. Bussien laskiessa matkustajat pois Postitalon kohdalla on kävelijöiden törmäysvaara pyöräilijöihin erittäin korkea, koska pyöräkaista on kävelykaistaan nähden tot;25496608,999890500;6673207,500000000
Kehittämisideani tälle paikalle!;Katajanokka. Raikas merituuli on keskusta-alueella...;Katajanokka. Raikas merituuli on keskusta-alueella täällä parhaimmillaan. Virkistyspaikkana kuitenkin hieman ankea. Lisää vihreyttä?;25498476,000023400;6672347,000000000
Kehittämisideani tälle paikalle!;Torikortteleita pitäisi avata yhä...;Torikortteleita pitäisi avata yhä enemmän yleisölle. Kaikki sisäpihat tulisi olla yleisölle avoimia niin pitkään kun liikkeet ovat auki. Sisäpihoille tarvitaan lisäksi selkeä opastus ja kylttejä jotka toivottavat tervetulleeksi. Tällä h;25497402,500097000;6672876,500000000
Keskustan tinkimätön helmi;Baana, mahtavaa kun reitillä pystyy...;Baana, mahtavaa kun reitillä pystyy kulkea autoista piittaamatta;25496295,000204500;6673191,000000000
Kehittämisideani tälle paikalle!;Vaaallinen Elielinalueen pyöräkaista...;Vaaallinen Elielinalueen pyöräkaista kaipaa uudelleen sunnittelun ja korjauksen!   Postitalon edessä monta törmäystilannetta bussimatkustajien astuessa busseista melkein suoraan pyöräkaistalle!;25496623,999875500;6673150,500000000
Hankala kulkea jalan.;Bussipysäkki, pyörätie ja jalankulkualue...;Bussipysäkki, pyörätie ja jalankulkualue huonosti eroteltuna;25496476,000023500;6673158,000000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Valtio-opillinen petankkiklubi kiittää...;Valtio-opillinen petankkiklubi kiittää Karhupuiston kentästä suhteellisen hyvänä paikkana peleille!  Karhupuiston kukkaistutus aivan upea. Rauhallinen ja nätti paikka Kalliossa, jossa kivasti välillä tapahtumia. Kirjasto ja puisto pelaavat y;25497362,500137000;6674560,500000000
Kehittämisideani tälle paikalle!;Senaatintorille voisi avata katetun...;Senaatintorille voisi avata katetun terassin, jossa myydään ruokaa ja juomaa säältä suojassa. Tällaisia löytyy etenkin Baltian pääkaupungeista paljon ja ovat kovassa suosiossa turistien sekä paikallisten keskuudessa. Ylipäätänsä tarvita;25497422,500077000;6672934,500000000
Turvaton paikka;Paljon jalankulkijoita, liikaa autoliikennettä...;Paljon jalankulkijoita, liikaa autoliikennettä ja siitä aiheutuvaa melua ja pakokaasuja. Rauhoittaisin alueen jalankulkijoille, pyöräilijöille ja raitioliikenteelle;25496725,999773500;6673063,000000000
Kehittämisideani tälle paikalle!;Keskuskadulle mahtuisi lasitettu terassi,...;Keskuskadulle mahtuisi lasitettu terassi, jossa tarjoltaisiin ruokaa ja juomaa. Tällä hetkellä Helsingissä ei ole kuin yksi tällainen paikka (Kämp);25496826,500173000;6672956,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Kansalaistori on ihana, varsinkin kesäisin....;Kansalaistori on ihana, varsinkin kesäisin. Hyvä ja rento pöhinä totisesti! Vielä kun saisi jotenkin Finlandia-talon takapihan kuntoon, niin tulisi erinomainen virkistyskeidas keskelle kaupunkia.;25496437,000062500;6673360,000000000
Kehittämisideani tälle paikalle!;Narinkkatori kaipaa istuinpenkkejä...;Narinkkatori kaipaa istuinpenkkejä  torin reunoille ja kauniita kukkapylväitä tms. viheristutuksia.   Nyt se toimii hyvin sujuvalle kävelyliikenteelle eril. tapahtumien lisäksi.;25496392,000107500;6672974,500000000
Keskustan tinkimätön helmi;Valmistunut keskuskatu on kiva kävellä....;Valmistunut keskuskatu on kiva kävellä. Aleksanterinkatu on siedettävä mutta tuntuu että kaikki ajaa siitä läpi autolla kielloista välittämättä. Siihen saisi asentaa koodilla aukeavat metallipuomit tai kaventaa tietä entisestään niin et;25496824,500175000;6672940,500000000
Hyvä paikka kohtaamiselle ja kaupunkipöhinälle;Perinteinen tapaamispaikka kellon alla,...;Perinteinen tapaamispaikka kellon alla, ei automelua, mutta kuitenkin meininkiä;25496757,500242000;6672870,500000000
Keskustan tinkimätön helmi;Hakaniemen monipuolinen arkkitehtuurinen...;Hakaniemen monipuolinen arkkitehtuurinen loisto ja siluetti tulee upeiten esille Eläintarhanlahden ympäriltä. Tokoinrantaan paistaa ihanasti aurinko pitkälle iltaan kesäisin. Hyvä paikka kirjan lukemiseen, piknikille, lenkkeilyyn, iltakävelyyn;25496895,000104500;6674162,000000000
Hankala kulkea jalan.;Ratikkapysäkki on yleensä aina täynnä....;Ratikkapysäkki on yleensä aina täynnä. Autoja kulkee tiuhaan ja taksit tööttäilevät. Todella inhottava paikka ja vielä ihan ytimessä. Lisäksi Aseman oviaukoilla norkoilee hirveästi juoppoja sun muita öykkäreitä.;25496738,499761000;6673038,500000000
Kehittämisideani tälle paikalle!;Siltasaarenkatu on erinomainen kotikatu....;Siltasaarenkatu on erinomainen kotikatu. Rauhallinen, erinomaisella sijainnilla, kaupunki näkyy upeana Neljänneltä linjalta. Kehittämisideana lähinnä esimerkinkaltainen: Siltasaarenkatu on turvallinen ympäristö.;25497220,999778500;6673910,000000000
Kehittämisideani tälle paikalle!;Talvella rautatieaseman ympäristö...;Talvella rautatieaseman ympäristö kaipaa nykyistä enemmän tehokkaampaa valaistusta ehkäisemään turvattomuutta pemeinä syys-ja talvikauden iltoina!  Aurinkokeräimillä varustetut LED-lamput ovat MUST! Vihreä ajattelu kaikissa hankinnoissa et;25496706,999792500;6673150,500000000
Kehittämisideani tälle paikalle!;Senaatintori on täysin turha tila....;Senaatintori on täysin turha tila. Siellä ei ole juuri mitään eikä koskaan. Tilalle voisi upotetun tai katetun kauppa-alueen  vrt. earthscraper tai rotterdamin katettu tori.;25497326,500173000;6672956,500000000
Meluisa paikka;Kauppatori on paska turistirysä. Se...;Kauppatori on paska turistirysä. Se haisee kalalta ja paskalta eikä sinne halua edes mennä. Pitäisi räjäyttää koko alue ja muuttaa kaislikoksi.;25497384,500115000;6672738,500000000
Virkistävä paikka;Puistosta avautuva miljöö on henkeäsalpaava....;Puistosta avautuva miljöö on henkeäsalpaava. Ympäröivät rakennukset ovat kutsuvia ja esteettisesti miellyttäviä. Loput katajanokasta on tosin typerää copypaste roskaa.;25497870,500128900;6672750,500000000
Turvaton paikka;Liikaa epämääräisiä porukoita hengailemassa...;Liikaa epämääräisiä porukoita hengailemassa aamusta iltaan. Turvaton kulkutie esim. yksinäiselle naiselle tai äidille lastensa kanssa.;25496750,500249000;6673120,500000000
