Surname,Race,Number of occurrences among people self-identifying as this race,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as this race,U.S. Rank,U.S. total occurrences
RAMIREZ,Hispanic,364364,9,93.7%,42,388987
TORRES,Hispanic,296424,10,91.2%,50,325169
FLORES,Hispanic,283979,11,90.8%,55,312615
RIVERA,Hispanic,270026,12,90.2%,59,299463
GOMEZ,Hispanic,240289,13,91.2%,68,263590
DIAZ,Hispanic,229666,14,91.2%,73,251772
REYES,Hispanic,202052,15,86.9%,81,232511
MORALES,Hispanic,199969,16,91.9%,90,217642
CRUZ,Hispanic,199270,17,86.2%,82,231065
ORTIZ,Hispanic,198260,18,92.4%,94,214683
GUTIERREZ,Hispanic,196703,19,92.4%,96,212905
CHAVEZ,Hispanic,170959,20,92.0%,118,185865
RAMOS,Hispanic,164943,21,85.4%,112,193096
GONZALES,Hispanic,163758,22,84.4%,110,193934
RUIZ,Hispanic,160868,23,91.7%,129,175429
ALVAREZ,Hispanic,153049,24,90.7%,132,168817
MENDOZA,Hispanic,149300,25,88.6%,134,168567
VASQUEZ,Hispanic,147926,26,92.5%,143,159989
CASTILLO,Hispanic,147023,27,88.9%,135,165473
JIMENEZ,Hispanic,146420,28,93.0%,147,157475
MORENO,Hispanic,132896,29,91.0%,170,146088
ROMERO,Hispanic,132444,30,86.1%,154,153772
HERRERA,Hispanic,129425,31,91.9%,175,140786
MEDINA,Hispanic,125557,32,90.1%,176,139353
AGUILAR,Hispanic,116527,33,92.2%,213,126399
GARZA,Hispanic,114783,34,92.5%,220,124130
CASTRO,Hispanic,113959,35,85.5%,194,133254
VARGAS,Hispanic,113763,36,91.8%,221,123952
FERNANDEZ,Hispanic,112417,37,80.7%,178,139302
GUZMAN,Hispanic,109736,38,92.7%,230,118390
MUNOZ,Hispanic,109071,39,92.6%,232,117774
MENDEZ,Hispanic,104394,40,92.6%,242,112736
SALAZAR,Hispanic,103131,41,90.9%,240,113468
SOTO,Hispanic,98388,42,92.3%,257,106631
DELGADO,Hispanic,90051,43,91.3%,282,98675
PENA,Hispanic,90035,44,91.6%,284,98345
RIOS,Hispanic,89828,45,93.0%,285,96569
ALVARADO,Hispanic,87697,46,93.6%,294,93723
SANDOVAL,Hispanic,87308,47,90.7%,287,96303
CONTRERAS,Hispanic,86869,48,93.8%,299,92660
VALDEZ,Hispanic,86599,49,87.8%,283,98610
GUERRERO,Hispanic,85980,50,91.3%,291,94152
ORTEGA,Hispanic,85522,51,91.8%,296,93131
ESTRADA,Hispanic,85080,52,91.7%,298,92831
NUNEZ,Hispanic,82279,53,91.2%,306,90208
MALDONADO,Hispanic,81811,54,93.0%,316,88016
VEGA,Hispanic,80306,55,91.5%,318,87728
VAZQUEZ,Hispanic,80272,56,94.5%,328,84926
SANTIAGO,Hispanic,79341,57,87.2%,302,90967
DOMINGUEZ,Hispanic,76555,58,91.4%,334,83731
ESPINOZA,Hispanic,74793,59,94.3%,360,79322
SILVA,Hispanic,73364,60,58.1%,214,126164
PADILLA,Hispanic,72798,61,89.0%,345,81805
MARQUEZ,Hispanic,71828,62,89.8%,357,79951
CORTEZ,Hispanic,68611,63,88.5%,367,77492
ROJAS,Hispanic,68183,64,93.3%,393,73071
ACOSTA,Hispanic,67292,65,88.0%,377,76477
FIGUEROA,Hispanic,66629,66,91.9%,398,72533
LUNA,Hispanic,65911,67,86.6%,378,76127
JUAREZ,Hispanic,65153,68,94.7%,429,68785
NAVARRO,Hispanic,64036,69,86.6%,388,73970
CAMPOS,Hispanic,62640,70,89.5%,420,69950
MOLINA,Hispanic,62579,71,89.1%,417,70211
AVILA,Hispanic,62461,72,89.4%,421,69843
AYALA,Hispanic,62198,73,93.5%,449,66515
MEJIA,Hispanic,62043,74,93.3%,448,66534
CARRILLO,Hispanic,61757,75,92.1%,443,67054
DURAN,Hispanic,57955,76,85.2%,434,68046
SANTOS,Hispanic,57733,77,58.3%,279,98993
SALINAS,Hispanic,56963,78,92.5%,490,61582
ROBLES,Hispanic,55814,79,90.6%,489,61619
SOLIS,Hispanic,54941,80,91.5%,497,60045
LARA,Hispanic,54534,81,91.3%,501,59731
CERVANTES,Hispanic,54507,82,94.5%,520,57685
AGUIRRE,Hispanic,53922,83,91.5%,508,58918
DELEON,Hispanic,53751,84,81.9%,460,65598
OCHOA,Hispanic,53303,85,93.2%,523,57210
MIRANDA,Hispanic,52899,86,78.2%,437,67646
CARDENAS,Hispanic,52632,87,93.0%,529,56618
TRUJILLO,Hispanic,52498,88,88.1%,504,59609
VELASQUEZ,Hispanic,52167,89,91.3%,525,57163
FUENTES,Hispanic,51655,90,91.5%,530,56441
CABRERA,Hispanic,51288,91,89.7%,524,57171
LEON,Hispanic,50651,92,81.7%,483,62034
RIVAS,Hispanic,50456,93,92.4%,553,54588
MONTOYA,Hispanic,50100,94,87.8%,526,57075
CALDERON,Hispanic,49824,95,91.1%,550,54691
COLON,Hispanic,49422,96,89.0%,539,55512
SERRANO,Hispanic,49160,97,89.3%,545,55057
GALLEGOS,Hispanic,49150,98,89.9%,551,54672
ROSALES,Hispanic,47347,99,92.2%,595,51336
CASTANEDA,Hispanic,47314,100,92.6%,600,51089
VILLARREAL,Hispanic,46590,101,92.5%,613,50351
GUERRA,Hispanic,46318,102,84.9%,554,54575
TREVINO,Hispanic,46080,103,91.3%,612,50454
PACHECO,Hispanic,45487,104,77.7%,512,58534
IBARRA,Hispanic,44395,105,94.7%,662,46895
VALENCIA,Hispanic,44033,106,88.0%,616,50026
MACIAS,Hispanic,43766,107,93.6%,664,46739
CAMACHO,Hispanic,43331,108,88.4%,630,49000
SALAS,Hispanic,43294,109,89.7%,643,48282
OROZCO,Hispanic,43056,110,95.1%,690,45289
ROMAN,Hispanic,41692,111,70.6%,507,59020
ZAMORA,Hispanic,41464,112,90.5%,684,45806
SUAREZ,Hispanic,41213,113,87.3%,658,47235
FRANCO,Hispanic,41019,114,77.2%,571,53161
BARRERA,Hispanic,40236,115,92.0%,713,43720
MERCADO,Hispanic,40070,116,86.3%,674,46437
SANTANA,Hispanic,39983,117,91.1%,710,43875
VALENZUELA,Hispanic,39034,118,89.2%,711,43770
ESCOBAR,Hispanic,38900,119,90.6%,723,42955
RANGEL,Hispanic,38841,120,92.8%,750,41868
MELENDEZ,Hispanic,38785,121,92.0%,744,42139
VELEZ,Hispanic,38688,122,90.4%,727,42820
LOZANO,Hispanic,38642,123,90.8%,734,42567
VELAZQUEZ,Hispanic,37984,124,94.9%,789,40030
SMITH,Hispanic,37069,125,1.6%,1,2376206
ARIAS,Hispanic,36963,126,92.2%,787,40086
MORA,Hispanic,36849,127,89.1%,759,41348
DELACRUZ,Hispanic,36795,128,74.9%,629,49158
GALVAN,Hispanic,36658,129,91.5%,788,40046
ZUNIGA,Hispanic,36565,130,93.6%,804,39057
CANTU,Hispanic,36021,131,91.0%,793,39601
VILLANUEVA,Hispanic,35990,132,80.7%,703,44570
MEZA,Hispanic,35677,133,94.7%,835,37662
ACEVEDO,Hispanic,35414,134,92.6%,824,38232
CISNEROS,Hispanic,34846,135,94.1%,850,37050
ARROYO,Hispanic,34845,136,92.5%,833,37678
PINEDA,Hispanic,34799,137,89.2%,806,38999
ANDRADE,Hispanic,34751,138,74.4%,666,46702
TAPIA,Hispanic,34549,139,92.9%,845,37201
SOSA,Hispanic,34034,140,92.5%,859,36813
VILLA,Hispanic,33984,141,86.2%,797,39402
ROCHA,Hispanic,33336,142,79.1%,744,42139
RUBIO,Hispanic,33028,143,90.4%,866,36531
ZAVALA,Hispanic,32399,144,95.1%,938,34068
MONTES,Hispanic,32320,145,91.8%,901,35196
PONCE,Hispanic,32094,146,90.7%,895,35400
BONILLA,Hispanic,31972,147,91.8%,908,34824
ARELLANO,Hispanic,31930,148,91.2%,905,34999
ROSARIO,Hispanic,31712,149,86.8%,865,36539
DAVILA,Hispanic,31640,150,91.6%,924,34541
VILLEGAS,Hispanic,31601,151,91.1%,917,34684
HUERTA,Hispanic,31547,152,94.6%,959,33348
MATA,Hispanic,31417,153,90.1%,907,34888
BELTRAN,Hispanic,31089,154,89.5%,914,34736
BARAJAS,Hispanic,30851,155,96.0%,989,32147
BENITEZ,Hispanic,30803,156,92.1%,957,33441
ESPARZA,Hispanic,30714,157,93.7%,971,32772
CORDOVA,Hispanic,29925,158,85.3%,903,35074
MURILLO,Hispanic,29768,159,93.1%,995,31964
SALGADO,Hispanic,29375,160,92.9%,1012,31627
ROSAS,Hispanic,29184,161,94.0%,1030,31050
CUEVAS,Hispanic,28189,162,88.0%,993,32015
PALACIOS,Hispanic,28124,163,93.0%,1057,30231
GUEVARA,Hispanic,27889,164,90.4%,1039,30844
QUINTERO,Hispanic,27858,165,93.0%,1070,29952
JOHNSON,Hispanic,27857,166,1.5%,2,1857160
LUCERO,Hispanic,27643,167,81.5%,945,33922
MEDRANO,Hispanic,27164,168,92.4%,1091,29386
BAUTISTA,Hispanic,27083,169,71.6%,830,37847
MARTIN,Hispanic,26841,170,4.0%,17,672711
LUGO,Hispanic,26489,171,90.3%,1092,29328
DEJESUS,Hispanic,26336,172,82.8%,1002,31803
ESPINOSA,Hispanic,26272,173,86.0%,1047,30538
MARIN,Hispanic,26246,174,82.6%,1003,31786
CORTES,Hispanic,26144,175,86.7%,1061,30141
MAGANA,Hispanic,26132,176,94.8%,1166,27571
QUINTANA,Hispanic,25964,177,87.3%,1073,29755
CORONA,Hispanic,25964,177,87.9%,1081,29525
TREJO,Hispanic,25781,179,94.1%,1172,27383
BERNAL,Hispanic,25650,180,87.2%,1089,29418
NIEVES,Hispanic,25624,181,91.5%,1146,28011
VILLALOBOS,Hispanic,25489,182,94.0%,1188,27107
ENRIQUEZ,Hispanic,25478,183,85.3%,1072,29886
REYNA,Hispanic,25144,184,92.4%,1181,27215
JARAMILLO,Hispanic,25067,185,89.4%,1144,28024
SAENZ,Hispanic,24727,186,90.9%,1182,27211
QUINONES,Hispanic,24703,187,90.5%,1177,27290
DELAROSA,Hispanic,24693,188,87.8%,1137,28134
AVALOS,Hispanic,24672,189,95.4%,1246,25875
ESQUIVEL,Hispanic,24594,190,93.5%,1220,26301
WILLIAMS,Hispanic,24545,191,1.6%,3,1534042
NAVA,Hispanic,24539,192,92.7%,1212,26463
CANO,Hispanic,24502,193,90.2%,1185,27179
BRAVO,Hispanic,24446,194,88.6%,1165,27576
DUARTE,Hispanic,24420,195,76.6%,997,31896
GALINDO,Hispanic,24413,196,91.3%,1199,26730
CORREA,Hispanic,24299,197,84.1%,1109,28910
PARRA,Hispanic,24228,198,90.9%,1203,26654
RODRIQUEZ,Hispanic,23655,199,89.7%,1217,26377
SALDANA,Hispanic,23454,200,92.4%,1273,25386
LEAL,Hispanic,23451,201,83.0%,1133,28248
SIERRA,Hispanic,23304,202,89.0%,1227,26181
BLANCO,Hispanic,22991,203,79.7%,1115,28843
BECERRA,Hispanic,22968,204,93.9%,1325,24468
BROWN,Hispanic,22634,205,1.6%,4,1380145
CARRASCO,Hispanic,22361,206,91.9%,1331,24343
PORTILLO,Hispanic,22251,207,92.7%,1353,24008
TOVAR,Hispanic,22183,208,93.4%,1370,23743
ALFARO,Hispanic,22131,209,91.8%,1346,24108
VERA,Hispanic,22022,210,89.7%,1319,24553
ZAPATA,Hispanic,21955,211,91.9%,1361,23900
MUNIZ,Hispanic,21700,212,89.7%,1340,24203
CARDONA,Hispanic,21580,213,90.6%,1365,23806
VIGIL,Hispanic,21514,214,82.0%,1224,26224
SAUCEDO,Hispanic,21273,215,95.2%,1464,22357
BAEZ,Hispanic,21019,216,93.4%,1454,22512
HURTADO,Hispanic,20790,217,93.5%,1468,22247
AMAYA,Hispanic,20696,218,93.4%,1473,22149
ESCOBEDO,Hispanic,20622,219,94.6%,1502,21790
PERALTA,Hispanic,20591,220,83.3%,1305,24713
ARREDONDO,Hispanic,20443,221,93.8%,1503,21785
AGUILERA,Hispanic,20271,222,93.5%,1519,21685
ZEPEDA,Hispanic,20018,223,94.0%,1545,21305
ROSADO,Hispanic,19928,224,90.3%,1479,22066
HINOJOSA,Hispanic,19912,225,93.8%,1552,21228
RENTERIA,Hispanic,19896,226,94.0%,1558,21159
GALLARDO,Hispanic,19895,227,88.7%,1460,22435
BARRIOS,Hispanic,19800,228,86.3%,1427,22941
FELIX,Hispanic,19722,229,62.4%,1011,31631
CASTELLANOS,Hispanic,19711,230,93.9%,1568,20985
BACA,Hispanic,19707,231,80.2%,1316,24572
SEGURA,Hispanic,19690,232,86.8%,1445,22689
JONES,Hispanic,19624,233,1.4%,5,1362755
GUILLEN,Hispanic,19531,234,91.9%,1550,21257
CORDERO,Hispanic,19341,235,83.6%,1409,23127
CHACON,Hispanic,19281,236,91.2%,1559,21153
VALLE,Hispanic,19274,237,83.7%,1415,23039
CORONADO,Hispanic,18848,238,91.9%,1608,20503
DELATORRE,Hispanic,18831,239,91.4%,1600,20614
VELA,Hispanic,18751,240,91.2%,1603,20569
MORAN,Hispanic,18623,241,23.7%,362,78546
ALONSO,Hispanic,18518,242,89.0%,1581,20802
VELASCO,Hispanic,18505,243,80.1%,1411,23114
MADRIGAL,Hispanic,18209,244,92.8%,1672,19632
CARRANZA,Hispanic,18172,245,93.8%,1697,19375
QUIROZ,Hispanic,18167,246,93.1%,1684,19507
ROMO,Hispanic,17877,247,89.1%,1634,20066
MADRID,Hispanic,17853,248,85.7%,1580,20834
MONTANO,Hispanic,17846,249,84.5%,1562,21110
SERNA,Hispanic,17811,250,90.2%,1662,19751
YBARRA,Hispanic,17754,251,88.7%,1639,20013
CABALLERO,Hispanic,17734,252,87.5%,1620,20270
BURGOS,Hispanic,17571,253,88.7%,1658,19816
VENTURA,Hispanic,17555,254,65.6%,1196,26769
OLVERA,Hispanic,17533,255,94.7%,1778,18512
ROSA,Hispanic,17405,256,61.3%,1132,28375
VARELA,Hispanic,17390,257,88.4%,1664,19672
LEYVA,Hispanic,17371,258,92.6%,1749,18769
QUEZADA,Hispanic,17365,259,95.9%,1820,18107
BERMUDEZ,Hispanic,17210,260,88.5%,1689,19451
BENAVIDES,Hispanic,17182,261,92.3%,1764,18617
ARAGON,Hispanic,17132,262,82.7%,1588,20723
AVILES,Hispanic,17004,263,91.8%,1775,18521
URIBE,Hispanic,16950,264,92.7%,1805,18283
DAVIS,Hispanic,16943,265,1.6%,7,1072335
PAGAN,Hispanic,16742,266,80.9%,1593,20702
PAREDES,Hispanic,16719,267,89.5%,1758,18689
OSORIO,Hispanic,16715,268,92.7%,1827,18037
YANEZ,Hispanic,16688,269,93.0%,1839,17950
NIETO,Hispanic,16674,270,88.6%,1744,18817
CARMONA,Hispanic,16555,271,90.5%,1803,18289
GRANADOS,Hispanic,16410,272,94.0%,1888,17463
GIL,Hispanic,16339,273,84.2%,1691,19403
MONTALVO,Hispanic,16324,274,90.3%,1823,18085
CASILLAS,Hispanic,16317,275,93.3%,1882,17498
LUJAN,Hispanic,16160,276,85.5%,1737,18892
BUSTAMANTE,Hispanic,16156,277,88.0%,1794,18363
MILLER,Hispanic,16128,278,1.4%,6,1127803
RICO,Hispanic,16101,279,85.9%,1754,18735
BARRON,Hispanic,16012,280,34.7%,678,46196
ANAYA,Hispanic,15976,281,91.8%,1894,17405
ORNELAS,Hispanic,15911,282,92.1%,1909,17278
OLIVARES,Hispanic,15798,283,93.7%,1961,16857
CANALES,Hispanic,15785,284,90.8%,1897,17381
GAMEZ,Hispanic,15780,285,93.9%,1971,16812
CUELLAR,Hispanic,15667,286,91.0%,1917,17217
LEMUS,Hispanic,15537,287,93.7%,2004,16583
PRADO,Hispanic,15477,288,88.0%,1873,17586
BARRAGAN,Hispanic,15252,289,95.2%,2078,16021
PAZ,Hispanic,15238,290,85.7%,1858,17776
PINA,Hispanic,15215,291,78.4%,1692,19399
REYNOSO,Hispanic,15164,292,93.6%,2049,16208
VALADEZ,Hispanic,15120,293,94.0%,2064,16083
NAVARRETE,Hispanic,14941,294,93.3%,2080,16010
OTERO,Hispanic,14821,295,87.4%,1947,16956
ALEMAN,Hispanic,14808,296,90.4%,2029,16379
MARRERO,Hispanic,14776,297,88.0%,1974,16783
OLIVAS,Hispanic,14674,298,90.8%,2053,16164
AREVALO,Hispanic,14601,299,91.6%,2087,15942
OJEDA,Hispanic,14601,299,92.5%,2110,15780
FONSECA,Hispanic,14565,301,74.6%,1682,19513
QUINTANILLA,Hispanic,14556,302,91.8%,2102,15849
SOLANO,Hispanic,14531,303,86.1%,1958,16869
ESCAMILLA,Hispanic,14404,304,94.3%,2183,15278
FELICIANO,Hispanic,14348,305,83.8%,1933,17112
TELLEZ,Hispanic,14343,306,93.6%,2174,15320
SEPULVEDA,Hispanic,14136,307,90.6%,2131,15611
ORELLANA,Hispanic,14093,308,94.3%,2229,14943
ARREOLA,Hispanic,14069,309,94.6%,2245,14874
BETANCOURT,Hispanic,14065,310,88.6%,2098,15876
CARBAJAL,Hispanic,14056,311,93.8%,2224,14993
AMADOR,Hispanic,14004,312,87.5%,2081,15997
SOTELO,Hispanic,13959,313,91.2%,2177,15308
HIDALGO,Hispanic,13881,314,82.5%,1967,16824
OCAMPO,Hispanic,13786,315,79.5%,1903,17334
RENDON,Hispanic,13779,316,89.6%,2165,15375
VENEGAS,Hispanic,13776,317,93.9%,2271,14677
NEGRON,Hispanic,13715,318,90.9%,2208,15090
BANUELOS,Hispanic,13672,319,95.9%,2326,14260
WILSON,Hispanic,13547,320,1.7%,10,783051
PATINO,Hispanic,13517,321,90.5%,2233,14929
CAVAZOS,Hispanic,13492,322,92.8%,2290,14543
TORREZ,Hispanic,13464,323,90.3%,2236,14904
MATOS,Hispanic,13380,324,79.6%,1968,16819
CASAS,Hispanic,13378,325,91.4%,2275,14635
GODINEZ,Hispanic,13362,326,94.4%,2346,14152
VALDES,Hispanic,13325,327,85.6%,2139,15567
LONGORIA,Hispanic,13287,328,89.5%,2251,14843
LEDESMA,Hispanic,13161,329,87.3%,2211,15077
ALANIZ,Hispanic,13154,330,92.8%,2341,14169
ARANDA,Hispanic,13084,331,89.1%,2268,14683
PRIETO,Hispanic,13077,332,88.4%,2259,14786
VALLEJO,Hispanic,13073,333,90.3%,2296,14484
POLANCO,Hispanic,13038,334,93.5%,2383,13938
ZARATE,Hispanic,12895,335,92.1%,2371,14000
PULIDO,Hispanic,12777,336,90.3%,2347,14151
ARCE,Hispanic,12766,337,85.9%,2249,14855
BARRAZA,Hispanic,12752,338,95.0%,2463,13430
MENA,Hispanic,12750,339,89.2%,2317,14299
ALONZO,Hispanic,12692,340,77.7%,2038,16326
GAMBOA,Hispanic,12561,341,83.1%,2205,15117
ARTEAGA,Hispanic,12494,342,94.8%,2511,13185
ESCALANTE,Hispanic,12479,343,88.9%,2365,14032
VALENTIN,Hispanic,12450,344,84.6%,2265,14720
GALVEZ,Hispanic,12370,345,86.4%,2314,14311
BRITO,Hispanic,12349,346,83.8%,2262,14740
CERDA,Hispanic,12338,347,93.4%,2505,13215
ZARAGOZA,Hispanic,12266,348,92.6%,2495,13245
NEVAREZ,Hispanic,12263,349,94.5%,2559,12979
CHAVARRIA,Hispanic,12132,350,92.7%,2534,13093
SALDIVAR,Hispanic,12088,351,92.3%,2530,13095
CORRAL,Hispanic,12073,352,91.1%,2493,13252
SAAVEDRA,Hispanic,12068,353,90.3%,2479,13358
ANDERSON,Hispanic,12046,354,1.6%,12,762394
MARROQUIN,Hispanic,12031,355,93.5%,2585,12874
CHAPA,Hispanic,12028,356,90.0%,2475,13370
MIRELES,Hispanic,11999,357,93.3%,2590,12863
CRESPO,Hispanic,11984,358,86.6%,2401,13835
ARRIAGA,Hispanic,11977,359,93.8%,2598,12765
COVARRUBIAS,Hispanic,11961,360,95.4%,2648,12543
SALCEDO,Hispanic,11922,361,87.7%,2440,13593
HOLGUIN,Hispanic,11894,362,91.2%,2546,13039
MOYA,Hispanic,11883,363,87.9%,2451,13526
ALCALA,Hispanic,11856,364,91.4%,2562,12972
LINARES,Hispanic,11842,365,92.5%,2595,12799
HEREDIA,Hispanic,11809,366,93.0%,2615,12703
THOMAS,Hispanic,11798,367,1.7%,14,710696
CEJA,Hispanic,11790,368,96.6%,2707,12199
BARRIENTOS,Hispanic,11718,369,92.3%,2620,12690
APONTE,Hispanic,11627,370,90.1%,2575,12905
TAYLOR,Hispanic,11598,371,1.6%,13,720370
MONTANEZ,Hispanic,11585,372,92.8%,2656,12482
NAJERA,Hispanic,11529,373,94.0%,2698,12270
RODRIGUES,Hispanic,11519,374,43.2%,1204,26652
CORNEJO,Hispanic,11489,375,92.5%,2673,12416
ALARCON,Hispanic,11477,376,89.5%,2594,12821
ONTIVEROS,Hispanic,11475,377,93.2%,2693,12317
ANGUIANO,Hispanic,11456,378,95.4%,2758,12006
SORIANO,Hispanic,11316,379,65.0%,1891,17418
PIMENTEL,Hispanic,11294,380,69.0%,2031,16358
ELIZONDO,Hispanic,11232,381,92.2%,2711,12183
ZAMBRANO,Hispanic,11179,382,89.6%,2661,12471
RINCON,Hispanic,11141,383,93.5%,2782,11921
MONDRAGON,Hispanic,11099,384,92.0%,2745,12063
CAZARES,Hispanic,11071,385,96.0%,2861,11531
ROBLEDO,Hispanic,10891,386,93.7%,2829,11620
ACUNA,Hispanic,10888,387,86.8%,2650,12537
BUENO,Hispanic,10887,388,84.8%,2591,12845
BUSTOS,Hispanic,10879,389,87.7%,2680,12401
ADAME,Hispanic,10862,390,91.7%,2791,11848
BALDERAS,Hispanic,10808,391,93.8%,2864,11520
DELOSSANTOS,Hispanic,10757,392,77.9%,2409,13802
TOLEDO,Hispanic,10724,393,73.9%,2294,14514
VALDIVIA,Hispanic,10718,394,93.3%,2871,11484
NARANJO,Hispanic,10702,395,89.6%,2772,11946
PERALES,Hispanic,10619,396,91.9%,2850,11558
DELGADILLO,Hispanic,10599,397,95.4%,2984,11107
PUENTE,Hispanic,10578,398,91.7%,2858,11533
FRIAS,Hispanic,10536,399,85.3%,2684,12357
VIDAL,Hispanic,10514,400,75.8%,2395,13867
MOORE,Hispanic,10480,401,1.5%,16,698671
THOMPSON,Hispanic,10439,402,1.6%,19,644368
GUAJARDO,Hispanic,10377,403,93.1%,2971,11143
NEGRETE,Hispanic,10354,404,92.5%,2961,11188
COLLAZO,Hispanic,10323,405,90.8%,2907,11365
ABREU,Hispanic,10322,406,79.3%,2553,13012
CEBALLOS,Hispanic,10267,407,92.6%,2992,11088
JAIMES,Hispanic,10257,408,96.2%,3113,10661
BATISTA,Hispanic,10225,409,78.1%,2530,13095
IRIZARRY,Hispanic,10224,410,88.6%,2857,11538
JACKSON,Hispanic,10192,411,1.5%,18,666125
ESPINAL,Hispanic,10092,412,95.8%,3138,10534
CARRERA,Hispanic,10067,413,85.7%,2805,11752
TAMAYO,Hispanic,10039,414,82.8%,2729,12130
PANTOJA,Hispanic,9965,415,94.8%,3148,10507
OLIVA,Hispanic,9946,416,66.8%,2241,14892
WHITE,Hispanic,9912,417,1.5%,20,639515
ESPINO,Hispanic,9901,418,90.3%,3030,10968
BENAVIDEZ,Hispanic,9842,419,90.0%,3039,10935
ORDONEZ,Hispanic,9841,420,86.6%,2906,11366
NORIEGA,Hispanic,9816,421,88.5%,2990,11089
ALMANZA,Hispanic,9811,422,94.2%,3163,10412
URBINA,Hispanic,9796,423,93.2%,3145,10511
LIMON,Hispanic,9701,424,90.2%,3086,10760
GAYTAN,Hispanic,9679,425,95.2%,3224,10164
MONTERO,Hispanic,9676,426,80.7%,2761,11997
ARCHULETA,Hispanic,9655,427,80.6%,2763,11978
ARMENTA,Hispanic,9617,428,91.2%,3136,10542
BANDA,Hispanic,9602,429,87.7%,3033,10954
FARIAS,Hispanic,9591,430,80.1%,2764,11977
TEJEDA,Hispanic,9583,431,95.2%,3256,10071
FIERRO,Hispanic,9576,432,80.5%,2785,11891
MOJICA,Hispanic,9576,432,88.6%,3077,10803
SOLORZANO,Hispanic,9572,434,94.3%,3232,10151
VILLASENOR,Hispanic,9526,435,93.5%,3214,10190
MESA,Hispanic,9501,436,83.8%,2915,11341
MARES,Hispanic,9455,437,78.5%,2751,12041
TIRADO,Hispanic,9451,438,90.9%,3167,10396
LIRA,Hispanic,9430,439,88.5%,3116,10655
AGUAYO,Hispanic,9348,440,94.6%,3321,9878
LERMA,Hispanic,9305,441,90.9%,3208,10235
ARGUETA,Hispanic,9304,442,95.5%,3357,9738
PALMA,Hispanic,9299,443,64.9%,2312,14339
JAIME,Hispanic,9279,444,91.4%,3232,10151
AQUINO,Hispanic,9245,445,50.0%,1781,18472
ALICEA,Hispanic,9220,446,90.0%,3204,10246
CLARK,Hispanic,9213,447,1.7%,25,548369
SORIA,Hispanic,9161,448,86.2%,3119,10629
SOLORIO,Hispanic,9110,449,95.1%,3421,9580
JASSO,Hispanic,9096,450,91.5%,3308,9938
VALLES,Hispanic,9068,451,87.3%,3170,10388
GARIBAY,Hispanic,9041,452,94.0%,3408,9623
CINTRON,Hispanic,9034,453,88.9%,3230,10158
CENTENO,Hispanic,8999,454,88.3%,3215,10188
PRECIADO,Hispanic,8980,455,93.8%,3422,9572
LOERA,Hispanic,8957,456,94.7%,3456,9459
MACHADO,Hispanic,8931,457,48.5%,1788,18429
HENRIQUEZ,Hispanic,8925,458,90.8%,3337,9824
BRIONES,Hispanic,8921,459,80.1%,2971,11143
ARMENDARIZ,Hispanic,8911,460,93.1%,3423,9569
GIRON,Hispanic,8861,461,81.5%,3057,10874
LOMELI,Hispanic,8838,462,94.4%,3492,9359
CARABALLO,Hispanic,8815,463,90.0%,3342,9794
ELIAS,Hispanic,8768,464,45.2%,1694,19394
BERRIOS,Hispanic,8752,465,91.3%,3415,9590
BARBOSA,Hispanic,8709,466,64.8%,2462,13433
GARAY,Hispanic,8687,467,85.7%,3236,10142
TEJADA,Hispanic,8622,468,88.9%,3372,9700
HARRIS,Hispanic,8606,469,1.4%,24,593542
LOYA,Hispanic,8581,470,86.4%,3309,9929
ANGULO,Hispanic,8528,471,91.8%,3515,9293
REGALADO,Hispanic,8501,472,88.7%,3417,9589
APODACA,Hispanic,8495,473,84.5%,3264,10054
MOTA,Hispanic,8480,474,84.0%,3251,10094
DUENAS,Hispanic,8477,475,85.0%,3297,9976
JAUREGUI,Hispanic,8469,476,92.0%,3542,9210
SEGOVIA,Hispanic,8456,477,90.5%,3498,9346
ROBINSON,Hispanic,8451,478,1.7%,27,503028
ULLOA,Hispanic,8440,479,92.8%,3587,9097
ARAUJO,Hispanic,8422,480,66.6%,2624,12646
MONROY,Hispanic,8412,481,91.3%,3540,9215
ROLDAN,Hispanic,8396,482,82.6%,3220,10168
PORRAS,Hispanic,8394,483,89.1%,3467,9419
PADRON,Hispanic,8380,484,89.5%,3492,9359
CADENA,Hispanic,8376,485,91.8%,3577,9123
VERGARA,Hispanic,8369,486,77.2%,3063,10844
LEWIS,Hispanic,8363,487,1.6%,26,509930
ALCANTAR,Hispanic,8347,488,94.8%,3701,8802
DELAGARZA,Hispanic,8333,489,91.9%,3599,9068
FERRER,Hispanic,8295,490,63.8%,2556,13010
DELVALLE,Hispanic,8283,491,86.8%,3431,9545
MUNGUIA,Hispanic,8277,492,94.6%,3723,8749
FAJARDO,Hispanic,8194,493,77.8%,3139,10530
PEDRAZA,Hispanic,8158,494,92.4%,3692,8828
SANTILLAN,Hispanic,8150,495,93.4%,3730,8729
LEE,Hispanic,8119,496,1.3%,22,605860
RAZO,Hispanic,8105,497,91.2%,3671,8891
APARICIO,Hispanic,8029,498,93.5%,3789,8587
WALKER,Hispanic,8021,499,1.6%,28,501307
CABRAL,Hispanic,8011,500,41.3%,1696,19384
CARLOS,Hispanic,8001,501,65.8%,2718,12162
ANGEL,Hispanic,7983,502,41.3%,1704,19316
SALCIDO,Hispanic,7980,503,91.0%,3714,8766
